No of words,Polysemy Detected words based on Wordnet 
1005,gathered
1006,organise
1007,desecrated
1008,besieged
1009,ran
1010,planet
1011,surgical
1012,banking
1013,nw
1014,allowing
1015,pose
1016,demolishing
1017,razes
1018,cow
1019,backing
1020,downtown
1021,folk
1022,decade
1023,veterinary
1024,cycle
1025,crazy
1026,resolve
1027,germans
1028,treatment
1029,widow
1030,contain
1031,tie
1032,abolition
1033,smartest
1034,transport
1035,medal
1036,anyway
1037,addition
1038,hitting
1039,ends
1040,prevent
1041,rallying
1042,judgement
1043,epistemic
1044,russia
1045,started
1046,advance
1047,yemen
1048,col
1049,touched
1050,entire
1051,trusted
1052,sister
1053,legalizing
1054,hostilities
1055,freeze
1056,faces
1057,reflecting
1058,countries
1059,behind
1060,poles
1061,shore
1062,sketches
1063,allies
1064,dictator
1065,version
1066,mek
1067,load
1068,understanding
1069,raf
1070,entertainment
1071,polar
1072,story
1073,jan
1074,humanitarian
1075,twitter
1076,spiritual
1077,proponent
1078,explanation
1079,destiny
1080,organization
1081,returned
1082,recounts
1083,colleagues
1084,bangladeshi
1085,post
1086,nuance
1087,according
1088,shortage
1089,bath
1090,meal
1091,marginalise
1092,milestones
1093,market
1094,danger
1095,adopted
1096,rebuttal
1097,boggling
1098,entirely
1099,several
1100,warehouse
1101,arrived
1102,fate
1103,making
1104,mr
1105,cheered
1106,imply
1107,reportage
1108,epa
1109,subtle
1110,apologist
1111,remove
1112,apparent
1113,destroyed
1114,visited
1115,servant
1116,handsome
1117,malnourished
1118,uses
1119,tragic
1120,cast
1121,boasting
1122,news
1123,yerevan
1124,birthplace
1125,pms
1126,whole
1127,lift
1128,roundtable
1129,spaceship
1130,bred
1131,bastard
1132,flower
1133,lab
1134,rg
1135,shoot
1136,opportunity
1137,hike
1138,bulgaria
1139,deserted
1140,removed
1141,exempt
1142,accuse
1143,namely
1144,insane
1145,offensive
1146,owned
1147,denys
1148,chopper
1149,cited
1150,achieve
1151,hunting
1152,lawyer
1153,purchase
1154,failing
1155,get
1156,guide
1157,prompted
1158,land
1159,tent
1160,session
1161,approval
1162,foot
1163,indication
1164,personally
1165,bickering
1166,ignoring
1167,admire
1168,writing
1169,cute
1170,intermission
1171,wrath
1172,ego
1173,peace-loving
1174,hormone
1175,toss
1176,champion
1177,estimated
1178,step
1179,flak
1180,effectively
1181,burns
1182,join
1183,stone
1184,trivial
1185,yeah
1186,outside
1187,intensive
1188,discourse
1189,wonder
1190,headache
1191,paul
1192,delivers
1193,junta
1194,advertising
1195,cup
1196,conservative
1197,concluding
1198,fuze
1199,operating
1200,owns
1201,defining
1202,banner
1203,corner
1204,musician
1205,photos
1206,format
1207,dust
1208,advisor
1209,livelihood
1210,warned
1211,florida
1212,defeated
1213,available
1214,nice
1215,forced
1216,trolls
1217,unspeakable
1218,strengthened
1219,unreal
1220,permanent
1221,blockade
1222,dry
1223,cruise
1224,benefit
1225,fails
1226,letter
1227,operated
1228,despot
1229,restarting
1230,linked
1231,ukraine
1232,standby
1233,precarious
1234,next
1235,guy
1236,reluctance
1237,cyborg
1238,lot
1239,acre
1240,goodness
1241,custody
1242,accomplish
1243,retake
1244,railway
1245,celebrity
1246,airport
1247,dig
1248,luxembourg
1249,option
1250,pregnant
1251,specially
1252,maintenance
1253,nationals
1254,remark
1255,f
1256,divorce
1257,christ
1258,develop
1259,around
1260,awe
1261,serious
1262,ear
1263,addressing
1264,four
1265,secure
1266,voter
1267,analogy
1268,discovered
1269,specialist
1270,mural
1271,baby
1272,pointless
1273,bleeds
1274,interview
1275,sensational
1276,losing
1277,monday
1278,ambition
1279,tied
1280,fifth
1281,lord
1282,infamy
1283,sing
1284,wind
1285,stop
1286,art
1287,legitimate
1288,chubby
1289,sort
1290,quarter
1291,franchise
1292,bother
1293,chaplin
1294,completing
1295,humbling
1296,armenian
1297,remind
1298,limitation
1299,trial
1300,halfway
1301,exercise
1302,publicity
1303,clown
1304,requirement
1305,austin
1306,insidious
1307,government
1308,scrutiny
1309,spelling
1310,central
1311,northern
1312,mon
1313,chicago
1314,deliver
1315,camera
1316,weak
1317,pork
1318,dragging
1319,crazed
1320,foothold
1321,fart
1322,departing
1323,capturing
1324,minutes
1325,worsen
1326,sacrifice
1327,cauldron
1328,memo
1329,policy
1330,actor
1331,analysis
1332,helicopters
1333,mans
1334,giveaway
1335,radar
1336,staunch
1337,silenced
1338,infantry
1339,biting
1340,hello
1341,convention
1342,awarded
1343,bound
1344,thousand
1345,rejoin
1346,empty
1347,use
1348,contrary
1349,separate
1350,pride
1351,storage
1352,dedicated
1353,warmongering
1354,batch
1355,madness
1356,design
1357,scale
1358,opposing
1359,exactly
1360,pretty
1361,vouch
1362,mentioned
